# convergence data
# read data in Python with:
#     import pandas as pd
#     df = pd.read_csv(open('./paperfig_data/convergence.csv'), index_col=0, header=[4,5])
category,independent,independent,independent,independent,independent,independent,independent,independent,rho,cross,cross,cross,cross,cross,cross,cross
n_trajs,1,2,4,8,16,32,64,128,1,2,4,8,16,32,64,128
iter,,,,,,,,,,,,,,,,
310,0.015833407807542055,0.016517643965699436,0.016845805694927773,0.01637878570383644,0.01659384092760907,0.016761344158469083,0.01655094205618257,0.016553649142313276,0.008005807902601525,0.0042905928651916225,0.0042727808196247885,0.004257778236252618,0.004223544937594914,0.004257654972337432,0.004198438456689435,0.004200276171616779
320,0.015138978083834242,0.01577076463375182,0.01610835398198729,0.01563609941811772,0.015859033854214943,0.016025482978932137,0.015821539493470316,0.015822609887098382,0.007328660245332408,0.004039325017909268,0.004016480067811301,0.004006830695019614,0.003976580358086124,0.0040082025592058645,0.003956353838399762,0.003957802715876868
330,0.014479633435800388,0.015067502365806229,0.015414539190250154,0.014937115117753752,0.015171631710240718,0.015322920170663612,0.015135275048395513,0.015128225819624364,0.006717566682578613,0.003820824005442036,0.0037933405481204163,0.003788549779081274,0.00376366363402747,0.003790341577934453,0.003746396820016651,0.003746361696673639
340,0.01385106545609227,0.014401298333490908,0.014735636629035653,0.014275265392473369,0.01449895378174415,0.014663663414911099,0.014480082520389903,0.014478917277891412,0.006169295424746868,0.003639173978491006,0.003599553092840879,0.0035991252051595923,0.0035775605546425338,0.0036010192231059612,0.0035637130587947707,0.0035627906782006447
350,0.01325021003130511,0.013819388348266237,0.014126432183765525,0.013669586723308758,0.013867224994741467,0.014028879403949923,0.013855321795984032,0.013855169107810705,0.005680126088850379,0.003473188827325391,0.0034316000168633787,0.003435053694786472,0.00341641351579014,0.003437528507040155,0.0034049068486906586,0.0034039241634219453
360,0.012674874555820947,0.013212089527457671,0.01352428053697352,0.013081020672568888,0.01328105411935454,0.013423155332474401,0.013256015836019541,0.0132586339336489,0.0052459849641601775,0.0033300531396494026,0.0032862663295338823,0.0032931449074401486,0.003276886681910396,0.0032952519200346586,0.003267510337623847,0.0032666703078345627
370,0.012132688773971445,0.01266013587154502,0.012933738143869111,0.01251908195244611,0.012707616134188249,0.01283995033283758,0.012692522312759524,0.012687335671439204,0.004862579343885565,0.003206560762875621,0.003160642503252542,0.003170520437913993,0.0031562590300339144,0.00317234350369322,0.003148876127175626,0.003147965829531696
380,0.011746529193402022,0.012131644614592041,0.012368574632940388,0.011975024119704747,0.012164491852151627,0.012289203924696901,0.01214377554865187,0.012138117633226031,0.004525522812274585,0.0030999797478894475,0.0030521191974308692,0.0030646057343237665,0.0030514691465489685,0.0030667285872052474,0.003046283349324219,0.0030454693768353636
390,0.011307534997335611,0.011598557969417223,0.011827304869969746,0.011447711952666362,0.011637578645102398,0.011759171797389056,0.011622964150523885,0.011609112286347312,0.004230445867182242,0.0030079468926308417,0.0029583753909500077,0.0029732442033194584,0.0029614290961290646,0.0029751285763598423,0.0029577664489277566,0.002956805889009373
400,0.010812189802460237,0.011111549292016187,0.011308827067695204,0.010943156038321078,0.011128366801504863,0.01124892593674609,0.011118500818676158,0.011104071108864577,0.003973088577474249,0.0029284077555362664,0.00287736165602559,0.002894127004026359,0.002883155959439776,0.002895751245714284,0.0028811299683634273,0.002880104883659973
410,0.010337973105828957,0.010622527973576656,0.010847102766016192,0.010466597981834469,0.010637958061845643,0.010759395832747431,0.01063088579334237,0.010622816484210929,0.003749373968234604,0.0028595764182537398,0.0028072802282369524,0.0028263469416721643,0.0028154231143582287,0.002827409839615047,0.0028147210016947755,0.0028137236111216435
420,0.009884302306651827,0.010154711233278158,0.010370510183707604,0.010005095652118268,0.010187228585721964,0.010290434028933815,0.01016868235554258,0.01016199900162229,0.0035554624032470006,0.002799904089144656,0.0027465632985314015,0.0027668709721487827,0.002757275883398469,0.002767816797647038,0.002757184178234562,0.0027561695969829936
