# output table from 2017-06-01_mg_dicke1_QSL_traj1-analysis.ipynb
,n_nodes,T,iters,err,rf
64,5,5.0,15000,7.871800243086646e-06,./data/dicke1_QSL_1traj/rf_5nodes_T5
65,5,6.0,10000,3.941669654006219e-06,./data/dicke1_QSL_1traj/rf_5nodes_T6
66,5,7.0,10000,2.871369643719923e-06,./data/dicke1_QSL_1traj/rf_5nodes_T7
67,5,8.0,10000,1.0080871763795685e-05,./data/dicke1_QSL_1traj/rf_5nodes_T8
68,5,9.0,20000,8.182884403851176e-06,./data/dicke1_QSL_1traj/rf_5nodes_T9
69,5,10.0,8000,1.2400676171475666e-06,./data/dicke1_QSL_1traj/rf_5nodes_T10
70,5,12.0,2000,8.947277958304412e-06,./data/dicke1_QSL_1traj/rf_5nodes_T12
71,5,15.0,2000,1.2948403241841433e-06,./data/dicke1_QSL_1traj/rf_5nodes_T15
72,5,18.0,2000,2.2048042569444704e-07,./data/dicke1_QSL_1traj/rf_5nodes_T18
73,5,20.0,1322,5.317186527742379e-07,./data/dicke1_QSL_1traj/rf_5nodes_T20
74,5,50.0,2000,4.119444408923201e-07,./data/dicke1_QSL_1traj/rf_5nodes_T50
75,5,70.0,2000,1.5161258370977038e-06,./data/dicke1_QSL_1traj/rf_5nodes_T70
76,6,0.5,10000,0.997982560334927,./data/dicke1_QSL_1traj/rf_6nodes_T0_50
77,6,0.75,10000,0.12221082667000638,./data/dicke1_QSL_1traj/rf_6nodes_T0_75
78,6,1.0,10000,0.03158116595258065,./data/dicke1_QSL_1traj/rf_6nodes_T1
79,6,1.25,10000,0.012924027738219102,./data/dicke1_QSL_1traj/rf_6nodes_T1_25
80,6,1.5,10000,0.005054289517883226,./data/dicke1_QSL_1traj/rf_6nodes_T1_50
81,6,1.75,10000,0.002671844132496437,./data/dicke1_QSL_1traj/rf_6nodes_T1_75
82,6,2.0,10000,0.001695920047904087,./data/dicke1_QSL_1traj/rf_6nodes_T2
83,6,2.5,10000,0.0008067476319550959,./data/dicke1_QSL_1traj/rf_6nodes_T2_50
84,6,3.0,10000,0.0004984459553817322,./data/dicke1_QSL_1traj/rf_6nodes_T3
85,6,4.0,10000,0.00014824724262074707,./data/dicke1_QSL_1traj/rf_6nodes_T4
86,6,5.0,15000,0.050018775606489596,./data/dicke1_QSL_1traj/rf_6nodes_T5
87,6,6.0,15000,2.6900217304670626e-05,./data/dicke1_QSL_1traj/rf_6nodes_T6
88,6,7.0,15000,2.799670150088751e-05,./data/dicke1_QSL_1traj/rf_6nodes_T7
89,6,8.0,15000,1.051156924369856e-05,./data/dicke1_QSL_1traj/rf_6nodes_T8
90,6,9.0,15000,7.110156305945026e-07,./data/dicke1_QSL_1traj/rf_6nodes_T9
91,6,10.0,10000,2.2683502327591754e-06,./data/dicke1_QSL_1traj/rf_6nodes_T10
92,6,12.0,10000,3.7191748691878246e-06,./data/dicke1_QSL_1traj/rf_6nodes_T12
93,6,14.0,10000,7.510830075663222e-07,./data/dicke1_QSL_1traj/rf_6nodes_T14
94,6,15.0,2000,1.0591488046940434e-05,./data/dicke1_QSL_1traj/rf_6nodes_T15
95,6,18.0,2000,3.656355399783706e-06,./data/dicke1_QSL_1traj/rf_6nodes_T18
96,6,20.0,2000,1.6465270531451637e-06,./data/dicke1_QSL_1traj/rf_6nodes_T20
97,6,50.0,2000,6.801623819718827e-08,./data/dicke1_QSL_1traj/rf_6nodes_T50
98,6,70.0,2000,2.795916278497401e-07,./data/dicke1_QSL_1traj/rf_6nodes_T70
99,7,1.0,10000,0.09096357918446729,./data/dicke1_QSL_1traj/rf_7nodes_T1
100,7,1.5,10000,0.05859404361202114,./data/dicke1_QSL_1traj/rf_7nodes_T1_50
101,7,2.0,10000,0.0031832263500654046,./data/dicke1_QSL_1traj/rf_7nodes_T2
102,7,2.5,10000,0.0018704156080421308,./data/dicke1_QSL_1traj/rf_7nodes_T2_50
103,7,3.0,10000,0.05200154868532947,./data/dicke1_QSL_1traj/rf_7nodes_T3
104,7,5.0,10000,0.0002253672286501862,./data/dicke1_QSL_1traj/rf_7nodes_T5
105,7,8.0,10000,4.548782466284873e-05,./data/dicke1_QSL_1traj/rf_7nodes_T8
106,7,9.0,10000,2.388979096656918e-06,./data/dicke1_QSL_1traj/rf_7nodes_T9
107,7,10.0,10000,2.4550345830709475e-06,./data/dicke1_QSL_1traj/rf_7nodes_T10
108,7,12.0,10000,6.601343708334539e-07,./data/dicke1_QSL_1traj/rf_7nodes_T12
109,7,14.0,10000,3.7670625696595295e-07,./data/dicke1_QSL_1traj/rf_7nodes_T14
110,7,15.0,2000,7.11665297290498e-05,./data/dicke1_QSL_1traj/rf_7nodes_T15
111,8,10.0,4565,7.725107764355865e-05,./data/dicke1_QSL_1traj/rf_8nodes_T10
